65365,5.1,14
65366,7.2,93
65367,5.1,88
65370,6.2,159
65371,5.7,252
65372,6.1,147
65373,4.3,29
65374,5.4,604
65375,5,242
65376,7,281
65377,6.6,16213
65378,5.7,78
65379,5.3,10
65380,5.4,672
65384,5,84
65385,6.3,123
65390,4,266
65391,6.7,1515
65393,7.2,121
65394,7,11
65395,4.5,6
65396,7.3,1006
65398,6.6,2442
65400,6,493
65401,5.1,284
65402,4.4,5
65405,5.5,129
65406,5.5,44
65407,3.6,270
65408,7,394
65410,6.2,31
65411,8.5,22
65413,5.8,57
65414,7.4,24
65417,8.2,2025
65418,5.8,36
65420,6.4,271
65421,7.1,85086
65422,5.6,210
65424,5,225
65425,5.8,144
65427,7.2,8
65429,6.1,22
65430,5.4,82
65432,6.1,171
65434,6.7,6
65436,6.9,5048
65437,7.5,8
65439,7.9,3289
65441,5.9,223
65443,6.3,73
65445,5.3,31
65446,7.2,7901
65447,7,27
65448,6.6,18
65450,7.1,499
65451,6.4,1308
65452,6.4,196
65453,8.1,17
65454,5,248
65456,5,401
65457,7.8,906
65458,4.6,25
65459,4.9,138
65460,5.1,128
65462,6.1,39509
65465,5.8,370
65466,6.2,9254
65467,6.1,15
65470,2.5,675
65474,4.8,90
65476,5.5,24
65478,4,797
65479,5.7,19
65480,2.7,389
65481,5.7,2753
65482,5.5,633
65483,4.2,335
65484,5.8,391
65486,7,3095
65488,7.6,3763
65489,7.3,1532
65491,6.2,2693
65492,7,3851
65493,4.9,68
65494,6.1,400
65495,6.6,152
65497,7.6,9
65498,5.8,18
65499,6.8,486
65500,5.6,7
65501,5,158
65503,6.8,203
65506,4.5,108
65509,6.2,545
65511,4.8,596
65512,5.9,129
65514,6.9,47
65515,5.9,248
65516,6,236
65517,6.4,160
65518,6.3,252
65520,5.8,471
65521,6,82
65524,5.9,1945
65525,6,2350
65526,2.8,25
65527,6.1,30
65528,7.2,20636
65529,6.4,7
65530,6.9,37
65531,8,19634
65533,7.3,97
65535,4.4,10
65536,5.5,54
65538,5.7,34
65539,6.8,31
65541,7,89
65542,6.9,3809
65543,6.9,58
65544,6.7,48
65545,5.1,16
65547,6.9,8313
65549,5.6,254
65550,6,300
65551,6.7,114
65552,5.6,20
65553,5.8,2412
65554,6.6,170
65555,6.4,2077
65557,4.6,50
65560,6.2,377
65561,6.8,24
65562,6.7,7
65563,6.2,48
65565,6.5,132
65567,4,7
65568,6.2,284
65569,5.8,2364
65570,6,905
65571,8,24009
65572,4.8,59
65573,6.7,84
65574,5.1,82
65575,5.5,273
65577,6.3,91
65578,5.1,16
65579,6.5,1565
65580,6,3273
65581,5.7,294
65582,4.8,68
65584,5.8,139
65585,6.8,22
65586,3.2,27
65587,8.1,16
65588,6.3,355
65589,5.7,252
65590,5,63
65591,5,1486
65593,6.9,4461
65595,5.1,678
65596,3.2,411
65597,5.6,1738
65598,6.9,39
65599,5.7,16
65600,7.6,586
65601,5,20
65607,7.4,46
65610,6.2,372
65611,6.1,1834
65612,7.2,33
65613,4.3,31
65614,5.4,312
65616,6.5,173
65617,4.3,6
65618,6.9,39
65619,5.1,55
65620,6.8,679
65621,5.1,46
65622,7.1,8736
65623,4.5,40
65626,7.2,38
65628,3.6,17
65629,5.6,9
65630,7.1,85
65631,6.9,77
65632,4.1,231
65633,4.1,8
65636,7,1202
65638,5.6,49
65639,6,39
65640,5.4,154
65641,5.3,277
65642,5.3,765
65643,5.3,212
65644,5.5,14
65646,5.4,201
65648,5.4,329
65649,7.5,5549
65651,7.5,7057
65652,5.3,229
65653,7.3,60
65656,5.9,730
65659,7.2,6
65660,4.2,513
65661,7.1,8
65662,7.2,965
65663,5.6,7
65666,7.7,785
65669,5.5,3394
65670,8.3,5171
65671,7.4,522
65672,6.2,118
65673,5.7,14
65674,6.9,16
65675,5.4,16
65677,6.3,1146
65681,5.8,40
65685,4.7,109
65686,6.3,419
65687,8,2165
65688,7,43
65690,5,39
65691,5.4,21
65692,6.6,260
65693,5.4,482
65698,7.1,63
65699,3.9,30
65700,6.4,508
65701,4.3,74
65702,6.4,1206
65703,6.2,148
65704,6.4,59
65705,7.4,36
65709,5.1,356
65711,5.9,297
65712,3.7,22
65713,7,10
65715,6,104
65716,7.2,124
65718,4.6,168
65719,6.3,68
65720,6.6,1089
65722,5.9,79
65724,7.5,30721
65726,5.7,430
65727,2.5,526
65731,5.6,95
65732,5.6,35
65735,5.8,55
65736,6.6,10
65737,6.1,537
65739,4.4,44
65740,3.8,33
65742,6.2,5
65743,4,26
65744,5.7,1411
65748,6.6,14
65749,5,33
65750,3.6,601
65753,7.1,45
65754,7.9,14
65755,5.5,867
65756,3.3,127
65757,6.2,389
65758,6.1,34
65760,4.2,1150
65761,6.7,8707
65762,4.8,357
65764,7.2,88
65766,3.4,14
65767,7,23
65768,5.8,42
65769,6.5,5401
65770,6.7,51
65772,7.7,7686
65773,6.5,22
65774,3.8,14
65775,6.3,1009
65776,5.3,869
65777,7.4,5557
65780,7.9,9973
65782,7.4,2885
65783,5.7,19
65784,5.1,38
65785,4.6,22
65787,6.4,30
65788,7.2,805
65790,5.6,304
65792,7.5,19
65795,5.9,333
65797,6.9,2234
65799,5.4,79
65801,5.6,90
65802,4.6,119
65803,6.4,82
65804,5.4,235
65806,6.8,46
65807,7.2,176
65808,6.5,1120
65809,6.9,125
65810,5.9,286
65815,5.4,207
65817,7,325
65818,6.1,29
65820,6.2,898
65823,4.3,82
65825,5.2,282
65826,3.2,182
65828,4.5,128
65830,6.7,26
65831,7.5,28
65832,3.3,16163
65833,6.6,10
65834,7.2,451
65835,6.8,312
65836,6.2,3926
65838,6.4,54
65839,6.9,1052
65841,5.9,8
65842,4.5,64
65843,5.6,15
65844,6.2,49
65845,5.6,13
65846,3.3,9
65847,7.1,29
65848,6.4,2441
65850,5.8,766
65851,5.8,1957
65852,3.1,736
65854,6.6,4555
65856,6.4,2388
65859,4.6,58
65861,7.8,48
65862,7.4,36
65865,6.2,338
65866,3.2,23
65867,7.4,4611
65871,4.8,118
65872,7.6,2207
65873,7.8,13
65874,6.6,1476
65876,6.4,46
65877,4.4,417
65878,7.6,10
65879,7.2,211
65883,7.3,6
65887,3.8,503
65889,8.1,7902
65890,5.1,109
65891,5.2,91
65892,6.7,80
65897,6.8,5
65898,4.4,9
65900,5.9,8
65903,6.8,38
65905,5,254
65906,7.5,31
65907,7.4,25
65908,8,2432
65909,7,39
65913,6.7,404
65914,6.2,36
65915,4.8,203
65916,6.8,2568
65917,6.1,187
65918,6.3,193
65919,6.7,14
65920,4.5,68
65921,6.1,15
65922,6.1,1404
65925,5.3,81
65926,6.1,31
65927,5,28
65928,7.6,9
65931,6.2,5
65932,6.7,1011
65933,7.3,12
65935,5.5,6
65936,7.1,789
65938,7.6,42191
65943,5.8,131
65944,7.7,329
65945,7.4,22
65948,6.9,686
65949,6.7,33
65950,6.3,1667
65951,6.5,74
65954,4.3,196
65955,7.5,5484
65957,5.9,522
65958,6.2,114
65959,6.3,6
65962,5.3,289
65963,7,1982
65964,5,22
65966,5.3,123
65967,5.3,147
65968,3.1,137
65969,7.2,2615
65970,6.7,185
65973,4.9,35
65974,6.1,488
65975,4.9,194
65979,6.8,606
65980,6.2,18
65981,6,905
65983,5.8,22
